agent 2 and landmark 0   p_force[a][2.99702024e+00 4.05037572e-04],p_force[b][ 3.99070859e+00 -1.39849749e-03] f_a[-0.  0.],f_bNone
agent 2 and landmark 1   p_force[a][2.99702024e+00 4.05037572e-04],p_force[b][ 3.99070859e+00 -1.39849749e-03] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][ 3.99070859e+00 -1.39849749e-03],p_force[b][ 3.99070859e+00 -1.39849749e-03] f_a[0. 0.],f_bNone
agent 3 and landmark 1   p_force[a][ 3.99070859e+00 -1.39849749e-03],p_force[b][ 3.99070859e+00 -1.39849749e-03] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][ 3.99070859e+00 -1.39849749e-03],p_force[b][ 3.99070859e+00 -1.39849749e-03] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.99461287e+00 -7.48562343e-05],p_force[b][2.99996746e+00 2.85009264e-05] f_a[ 1.29820367e-197 -1.01013171e-197],f_b[-1.29820367e-197  1.01013171e-197]
agent 0 and agent 2   p_force[a][ 2.99461287e+00 -7.48562343e-05],p_force[b][ 2.99240452 -0.0072321 ] f_a[-0. -0.],f_b[0. 0.]
agent 0 and agent 3   p_force[a][ 2.99461287e+00 -7.48562343e-05],p_force[b][3.98846531 0.0113206 ] f_a[-0. -0.],f_b[0. 0.]
agent 0 and landmark 0   p_force[a][ 2.99461287e+00 -7.48562343e-05],p_force[b][3.98846531 0.0113206 ] f_a[-4.74e-322  1.33e-322],f_bNone
agent 0 and landmark 1   p_force[a][ 2.99461287e+00 -7.48562343e-05],p_force[b][3.98846531 0.0113206 ] f_a[-2.61688207  2.88267419],f_bNone
agent 1 and agent 2   p_force[a][2.99996746e+00 2.85009264e-05],p_force[b][ 2.99240452 -0.0072321 ] f_a[-0. -0.],f_b[0. 0.]
agent 1 and agent 3   p_force[a][2.99996746e+00 2.85009264e-05],p_force[b][3.98846531 0.0113206 ] f_a[-0. -0.],f_b[0. 0.]
agent 1 and landmark 0   p_force[a][2.99996746e+00 2.85009264e-05],p_force[b][3.98846531 0.0113206 ] f_a[-0.  0.],f_bNone
agent 1 and landmark 1   p_force[a][2.99996746e+00 2.85009264e-05],p_force[b][3.98846531 0.0113206 ] f_a[-2.69290206e-244  2.31404595e-244],f_bNone
agent 2 and agent 3   p_force[a][ 2.99240452 -0.0072321 ],p_force[b][3.98846531 0.0113206 ] f_a[-1.22229398e-109  1.15813037e-109],f_b[ 1.22229398e-109 -1.15813037e-109]
agent 2 and landmark 0   p_force[a][ 2.99240452 -0.0072321 ],p_force[b][3.98846531 0.0113206 ] f_a[0. 0.],f_bNone
agent 2 and landmark 1   p_force[a][ 2.99240452 -0.0072321 ],p_force[b][3.98846531 0.0113206 ] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][3.98846531 0.0113206 ],p_force[b][3.98846531 0.0113206 ] f_a[0. 0.],f_bNone
agent 3 and landmark 1   p_force[a][3.98846531 0.0113206 ],p_force[b][3.98846531 0.0113206 ] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.98846531 0.0113206 ],p_force[b][3.98846531 0.0113206 ] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.99748695e+00 -6.69177403e-04],p_force[b][2.99964237e+00 3.88103072e-05] f_a[ 9.63488916e-158 -7.86416990e-158],f_b[-9.63488916e-158  7.86416990e-158]
agent 0 and agent 2   p_force[a][ 2.99748695e+00 -6.69177403e-04],p_force[b][ 1.08154643 -1.91141921] f_a[-0. -0.],f_b[0. 0.]
agent 0 and agent 3   p_force[a][ 2.99748695e+00 -6.69177403e-04],p_force[b][3.9956584  0.00406543] f_a[-0. -0.],f_b[0. 0.]
agent 0 and landmark 0   p_force[a][ 2.99748695e+00 -6.69177403e-04],p_force[b][3.9956584  0.00406543] f_a[-0.  0.],f_bNone
agent 0 and landmark 1   p_force[a][ 2.99748695e+00 -6.69177403e-04],p_force[b][3.9956584  0.00406543] f_a[-1.90675515e-07  3.13308210e-07],f_bNone
agent 1 and agent 2   p_force[a][2.99964237e+00 3.88103072e-05],p_force[b][ 1.08154643 -1.91141921] f_a[-0. -0.],f_b[0. 0.]
agent 1 and agent 3   p_force[a][2.99964237e+00 3.88103072e-05],p_force[b][3.9956584  0.00406543] f_a[-0. -0.],f_b[0. 0.]
agent 1 and landmark 0   p_force[a][2.99964237e+00 3.88103072e-05],p_force[b][3.9956584  0.00406543] f_a[-0.  0.],f_bNone
agent 1 and landmark 1   p_force[a][2.99964237e+00 3.88103072e-05],p_force[b][3.9956584  0.00406543] f_a[-2.59564145e-223  2.70953238e-223],f_bNone
agent 2 and agent 3   p_force[a][ 1.08154643 -1.91141921],p_force[b][3.9956584  0.00406543] f_a[-7.04968749e-69  1.66719484e-68],f_b[ 7.04968749e-69 -1.66719484e-68]
agent 2 and landmark 0   p_force[a][ 1.08154643 -1.91141921],p_force[b][3.9956584  0.00406543] f_a[0. 0.],f_bNone
agent 2 and landmark 1   p_force[a][ 1.08154643 -1.91141921],p_force[b][3.9956584  0.00406543] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][3.9956584  0.00406543],p_force[b][3.9956584  0.00406543] f_a[0. 0.],f_bNone
agent 3 and landmark 1   p_force[a][3.9956584  0.00406543],p_force[b][3.9956584  0.00406543] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.9956584  0.00406543],p_force[b][3.9956584  0.00406543] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.99733227e+00 -2.29487132e-03],p_force[b][2.99868482e+00 2.48443277e-04] f_a[ 6.05076431e-128 -5.18465315e-128],f_b[-6.05076431e-128  5.18465315e-128]
agent 0 and agent 2   p_force[a][ 2.99733227e+00 -2.29487132e-03],p_force[b][ 0.05371315 -2.94563717] f_a[-0. -0.],f_b[0. 0.]
agent 0 and agent 3   p_force[a][ 2.99733227e+00 -2.29487132e-03],p_force[b][3.99914098e+00 5.15632913e-04] f_a[-0. -0.],f_b[0. 0.]
agent 0 and landmark 0   p_force[a][ 2.99733227e+00 -2.29487132e-03],p_force[b][3.99914098e+00 5.15632913e-04] f_a[-3.18e-321  1.36e-321],f_bNone
