agent 2 and landmark 0   p_force[a][ 1.36049786 -1.60197616],p_force[b][3.99986744e+00 6.63686205e-06] f_a[-1.75538309e-186  1.18246345e-186],f_bNone
agent 2 and landmark 1   p_force[a][ 1.36049786 -1.60197616],p_force[b][3.99986744e+00 6.63686205e-06] f_a[-0.  0.],f_bNone
agent 3 and landmark 0   p_force[a][3.99986744e+00 6.63686205e-06],p_force[b][3.99986744e+00 6.63686205e-06] f_a[ 0. -0.],f_bNone
agent 3 and landmark 1   p_force[a][3.99986744e+00 6.63686205e-06],p_force[b][3.99986744e+00 6.63686205e-06] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.99986744e+00 6.63686205e-06],p_force[b][3.99986744e+00 6.63686205e-06] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.27029055 -0.65731457],p_force[b][ 2.94192249 -0.05621791] f_a[ 3.75564618e-173 -4.68596063e-172],f_b[-3.75564618e-173  4.68596063e-172]
agent 0 and agent 2   p_force[a][ 2.27029055 -0.65731457],p_force[b][ 2.95308959 -0.04672874] f_a[ 0. -0.],f_b[-0.  0.]
agent 0 and agent 3   p_force[a][ 2.27029055 -0.65731457],p_force[b][3.99910831e+00 9.37622535e-05] f_a[-0.  0.],f_b[ 0. -0.]
agent 0 and landmark 0   p_force[a][ 2.27029055 -0.65731457],p_force[b][3.99910831e+00 9.37622535e-05] f_a[-2.73788503e-181 -4.28959637e-181],f_bNone
agent 0 and landmark 1   p_force[a][ 2.27029055 -0.65731457],p_force[b][3.99910831e+00 9.37622535e-05] f_a[3.52447274e-106 1.12089680e-105],f_bNone
agent 1 and agent 2   p_force[a][ 2.94192249 -0.05621791],p_force[b][ 2.95308959 -0.04672874] f_a[ 3.87105411e-115 -1.26860042e-114],f_b[-3.87105411e-115  1.26860042e-114]
agent 1 and agent 3   p_force[a][ 2.94192249 -0.05621791],p_force[b][3.99910831e+00 9.37622535e-05] f_a[-0.  0.],f_b[ 0. -0.]
agent 1 and landmark 0   p_force[a][ 2.94192249 -0.05621791],p_force[b][3.99910831e+00 9.37622535e-05] f_a[-1.20259237e-62 -1.17663838e-63],f_bNone
agent 1 and landmark 1   p_force[a][ 2.94192249 -0.05621791],p_force[b][3.99910831e+00 9.37622535e-05] f_a[0. 0.],f_bNone
agent 2 and agent 3   p_force[a][ 2.95308959 -0.04672874],p_force[b][3.99910831e+00 9.37622535e-05] f_a[-0.  0.],f_b[ 0. -0.]
agent 2 and landmark 0   p_force[a][ 2.95308959 -0.04672874],p_force[b][3.99910831e+00 9.37622535e-05] f_a[-2.70627729e-159  1.78132657e-159],f_bNone
agent 2 and landmark 1   p_force[a][ 2.95308959 -0.04672874],p_force[b][3.99910831e+00 9.37622535e-05] f_a[-0.  0.],f_bNone
agent 3 and landmark 0   p_force[a][3.99910831e+00 9.37622535e-05],p_force[b][3.99910831e+00 9.37622535e-05] f_a[ 0. -0.],f_bNone
agent 3 and landmark 1   p_force[a][3.99910831e+00 9.37622535e-05],p_force[b][3.99910831e+00 9.37622535e-05] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.99910831e+00 9.37622535e-05],p_force[b][3.99910831e+00 9.37622535e-05] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 1.73846394 -1.21287909],p_force[b][ 1.48430309 -1.49166083] f_a[ 5.94394153e-166 -5.28437748e-165],f_b[-5.94394153e-166  5.28437748e-165]
agent 0 and agent 2   p_force[a][ 1.73846394 -1.21287909],p_force[b][ 1.41454107 -1.52093053] f_a[ 0. -0.],f_b[-0.  0.]
agent 0 and agent 3   p_force[a][ 1.73846394 -1.21287909],p_force[b][3.99919033e+00 1.12957423e-07] f_a[-0.  0.],f_b[ 0. -0.]
agent 0 and landmark 0   p_force[a][ 1.73846394 -1.21287909],p_force[b][3.99919033e+00 1.12957423e-07] f_a[-7.74614669e-190 -1.50772011e-189],f_bNone
agent 0 and landmark 1   p_force[a][ 1.73846394 -1.21287909],p_force[b][3.99919033e+00 1.12957423e-07] f_a[2.85055795e-93 6.25511156e-93],f_bNone
agent 1 and agent 2   p_force[a][ 1.48430309 -1.49166083],p_force[b][ 1.41454107 -1.52093053] f_a[ 5.84232606e-127 -2.93472905e-126],f_b[-5.84232606e-127  2.93472905e-126]
agent 1 and agent 3   p_force[a][ 1.48430309 -1.49166083],p_force[b][3.99919033e+00 1.12957423e-07] f_a[-0.  0.],f_b[ 0. -0.]
agent 1 and landmark 0   p_force[a][ 1.48430309 -1.49166083],p_force[b][3.99919033e+00 1.12957423e-07] f_a[-1.23469194e-54 -3.47900144e-55],f_bNone
agent 1 and landmark 1   p_force[a][ 1.48430309 -1.49166083],p_force[b][3.99919033e+00 1.12957423e-07] f_a[7.95693944e-306 5.37924723e-305],f_bNone
agent 2 and agent 3   p_force[a][ 1.41454107 -1.52093053],p_force[b][3.99919033e+00 1.12957423e-07] f_a[-0.  0.],f_b[ 0. -0.]
agent 2 and landmark 0   p_force[a][ 1.41454107 -1.52093053],p_force[b][3.99919033e+00 1.12957423e-07] f_a[-3.86212025e-128  2.64354296e-128],f_bNone
agent 2 and landmark 1   p_force[a][ 1.41454107 -1.52093053],p_force[b][3.99919033e+00 1.12957423e-07] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][3.99919033e+00 1.12957423e-07],p_force[b][3.99919033e+00 1.12957423e-07] f_a[ 0. -0.],f_bNone
agent 3 and landmark 1   p_force[a][3.99919033e+00 1.12957423e-07],p_force[b][3.99919033e+00 1.12957423e-07] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.99919033e+00 1.12957423e-07],p_force[b][3.99919033e+00 1.12957423e-07] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.95514899 -0.02842013],p_force[b][ 1.46849129 -1.52432531] f_a[ 1.12846872e-159 -7.83605100e-159],f_b[-1.12846872e-159  7.83605100e-159]
agent 0 and agent 2   p_force[a][ 2.95514899 -0.02842013],p_force[b][ 0.12599394 -2.86632246] f_a[ 0. -0.],f_b[-0.  0.]
agent 0 and agent 3   p_force[a][ 2.95514899 -0.02842013],p_force[b][ 3.99697423e+00 -1.83723954e-04] f_a[-0.  0.],f_b[ 0. -0.]
agent 0 and landmark 0   p_force[a][ 2.95514899 -0.02842013],p_force[b][ 3.99697423e+00 -1.83723954e-04] f_a[-6.33362886e-200 -1.58681084e-199],f_bNone
agent 0 and landmark 1   p_force[a][ 2.95514899 -0.02842013],p_force[b][ 3.99697423e+00 -1.83723954e-04] f_a[2.36192969e-85 3.65203756e-85],f_bNone
agent 1 and agent 2   p_force[a][ 1.46849129 -1.52432531],p_force[b][ 0.12599394 -2.86632246] f_a[ 6.96558055e-137 -5.26718649e-136],f_b[-6.96558055e-137  5.26718649e-136]
agent 1 and agent 3   p_force[a][ 1.46849129 -1.52432531],p_force[b][ 3.99697423e+00 -1.83723954e-04] f_a[-0.  0.],f_b[ 0. -0.]
agent 1 and landmark 0   p_force[a][ 1.46849129 -1.52432531],p_force[b][ 3.99697423e+00 -1.83723954e-04] f_a[-2.24911261e-49 -1.13202802e-49],f_bNone
agent 1 and landmark 1   p_force[a][ 1.46849129 -1.52432531],p_force[b][ 3.99697423e+00 -1.83723954e-04] f_a[1.28699824e-280 6.38899587e-280],f_bNone
agent 2 and agent 3   p_force[a][ 0.12599394 -2.86632246],p_force[b][ 3.99697423e+00 -1.83723954e-04] f_a[-0.  0.],f_b[ 0. -0.]
agent 2 and landmark 0   p_force[a][ 0.12599394 -2.86632246],p_force[b][ 3.99697423e+00 -1.83723954e-04] f_a[-5.16497009e-96  3.59882392e-96],f_bNone
agent 2 and landmark 1   p_force[a][ 0.12599394 -2.86632246],p_force[b][ 3.99697423e+00 -1.83723954e-04] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][ 3.99697423e+00 -1.83723954e-04],p_force[b][ 3.99697423e+00 -1.83723954e-04] f_a[ 0. -0.],f_bNone
agent 3 and landmark 1   p_force[a][ 3.99697423e+00 -1.83723954e-04],p_force[b][ 3.99697423e+00 -1.83723954e-04] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][ 3.99697423e+00 -1.83723954e-04],p_force[b][ 3.99697423e+00 -1.83723954e-04] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.9663052 -0.0137629],p_force[b][ 0.37516165 -2.62298566] f_a[ 7.65305101e-150 -3.72641355e-149],f_b[-7.65305101e-150  3.72641355e-149]
agent 0 and agent 2   p_force[a][ 2.9663052 -0.0137629],p_force[b][ 0.39985313 -2.54231805] f_a[ 0. -0.],f_b[-0.  0.]
agent 0 and agent 3   p_force[a][ 2.9663052 -0.0137629],p_force[b][ 3.99826264e+00 -1.42284017e-03] f_a[-0.  0.],f_b[ 0. -0.]
agent 0 and landmark 0   p_force[a][ 2.9663052 -0.0137629],p_force[b][ 3.99826264e+00 -1.42284017e-03] f_a[-1.01028692e-205 -3.58150824e-205],f_bNone
agent 0 and landmark 1   p_force[a][ 2.9663052 -0.0137629],p_force[b][ 3.99826264e+00 -1.42284017e-03] f_a[9.60303189e-91 1.05687017e-90],f_bNone
agent 1 and agent 2   p_force[a][ 0.37516165 -2.62298566],p_force[b][ 0.39985313 -2.54231805] f_a[ 1.51310139e-139 -1.27409222e-138],f_b[-1.51310139e-139  1.27409222e-138]
agent 1 and agent 3   p_force[a][ 0.37516165 -2.62298566],p_force[b][ 3.99826264e+00 -1.42284017e-03] f_a[-0.  0.],f_b[ 0. -0.]
agent 1 and landmark 0   p_force[a][ 0.37516165 -2.62298566],p_force[b][ 3.99826264e+00 -1.42284017e-03] f_a[-1.68639099e-48 -1.33264810e-48],f_bNone
agent 1 and landmark 1   p_force[a][ 0.37516165 -2.62298566],p_force[b][ 3.99826264e+00 -1.42284017e-03] f_a[1.17689022e-257 4.37299965e-257],f_bNone
agent 2 and agent 3   p_force[a][ 0.39985313 -2.54231805],p_force[b][ 3.99826264e+00 -1.42284017e-03] f_a[-0.  0.],f_b[ 0. -0.]
